Title,Artist,Lyrics
Stuck with U,Ariana Grande & Justin Bieber,"[Intro: Ariana Grande]
Mmm
Hey, yeah
(That's just for fun)
(What?)
(I'm stuck with you)
Ah

[Verse 1: Ariana Grande]
I'm not one to stick around
One strike and you're out, baby
Don't care if I sound crazy
But you never let me down, no, no
That's why when the sun's up, I'm stayin'
Still layin' in your bed, singin'

[Pre-Chorus: Ariana Grande]
Ooh, ooh, ooh, ooh
Got all this time on my hands
Might as well cancel our plans, yeah
I could stay here for a lifetime

[Chorus: Ariana Grande]
So, lock the door and throw out the key
Can't fight this no more, it's just you and me
And there's nothin' I, nothin' I, I can do
I'm stuck with you, stuck with you, stuck with you
So, go ahead and drive me insane
Baby, run your mouth, I still wouldn't change
Being stuck with you, stuck with you, stuck with you
I'm stuck with you, stuck with you, stuck with you, baby

[Verse 2: Justin Bieber with Ariana Grande]
There's nowhere we need to be, no, no, no
I'ma get to know you better
Kinda hope we're here forever
There's nobody on these streets
If you told me that the world's endin'
Ain't no other way that I can spend it

[Pre-Chorus: Justin Bieber, with Ariana Grande & Both]
Oh, oh, oh, oh (Ooh)
Got all this time in my hands
Might as well cancel our plans (Yeah, yeah)
I could stay here forever

[Chorus: Justin Bieber with Ariana Grande]
So, lock the door and throw out the key
Can't fight this no more, it's just you and me
And there's nothin' I, nothin' I, I can do
I'm stuck with you, stuck with you, stuck with you
So, go ahead and drive me insane
Baby, run your mouth, I still wouldn't change
Being stuck with you, stuck with you, stuck with you
I'm stuck with you, stuck with you, stuck with you

[Bridge: Justin Bieber, Ariana Grande & Both]
Woah
Baby, come take all my time
Go on, make me lose my mind
We got all that we need here tonight

[Chorus: Ariana Grande, Justin Bieber & Both]
I lock the door (Lock the door) and throw out the key
Can't fight this no more (Can't fight this no more), it's just you and me
And there's nothin' I, nothin' I'd rather do
I'm stuck with you, stuck with you, stuck with you
So, go ahead and drive me insane
Baby, run your mouth, I still wouldn't change
All this lovin' you, hatin' you, wantin' you
I'm stuck with you, stuck with you, stuck with
You, oh, oh

[Outro: Ariana Grande]
Stuck with you, stuck with you, stuck with you"
Until We Meet Again,Nick Jonas,"[Intro]
Yeah

[Verse 1]
Wish I could reach you through a distance
Show you my heart and all that I'm feeling
Lord, I can't preach, but I know something's missing
Nowhere to fight back to the beginning

[Chorus]
So until we meet again
I'ma keep smile, smile, smile, smiling
We could be miles apart
But you know I'm never too far
My friend, until we meet again

[Verse 2]
Gonna find light for facing tomorrow
No one said faith is something to borrow
Love is no place for living in that sorrow
Leave it to kings and no one but follow

[Chorus]
So until we meet again
I'ma keep smiling (Smiling)
We could be miles apart
But you know I'm never too far
My friend, until we meet again

[Bridge]
There may be times that it feels like it's impossible
But every time, yeah, I find my strength in you (I find my strength)
There may be times that it feels like you just hate the world
There may be times, there will be times

[Chorus]
So until we meet again
I'ma keep smiling
We could be miles apart
But you know I'm never too far
My friend, until we meet again
So until we meet again (Oh, ‘til we meet again)
I'ma keep smile, smile, smile, smiling (I'ma keep smiling)
We could be miles apart
But you know I'm never too far
My friend, until we meet again

[Outro]
My friend, until we meet again"
Will (Remix),Joyner Lucas & Will Smith,"[Intro: Joyner Lucas]
Hey
Will
Yeah

[Chorus: Joyner Lucas]
I'm feelin’ like Will (Hey), I feel like a prince, I'm feelin' myself
(Buck, buck)
I’m loaded with bills 'cause I wasn't blessed with no Uncle Phil (Blah)
Don't know how it feels, I wanted to flex, they told me to chill (Chill)
I'm makin' a flip (Flip), my life is a flick, now load up the film (Hey)

[Verse: Will Smith]
Yeah
You feelin' like me? (Whoa)
I feel like a prince that turned to a king (Ayy)
Found me a queen, started a family and got me a team
On top of my dreams, Joyner, I know you inspired by me
Like I was inspired by Nelson Mandela, I give him a rose for every endeavor
And shoutout to Julius Erving, one of the legends I worship (Worship)
Muhammad Ali put the work in, he was the champ, the greatest, he earned it
I love that you think that I'm perfect but I had plenty mistakes and burdens
My grandmama thought I was worth it
She always guided me when I was searchin’ (Searchin’)
I wouldn't be me if it wasn’t for her (I wouldn't be Will)
I wouldn't be Willie, I couldn't be me if there wasn’t no Eddie
I wouldn't be Will if I wasn't from Philly
Ain't nothin' much that you really can tell me
Willie been cold since Benny and Jerry
Must've forgot that I really get busy
They done forgot who invented ""Get Jiggy,"" ayy (They must have forgotten)
Back before there was streaming sales
Way before all the iTunes and the fans had to get CDs still (Hey)
Sixty million records sold, I was on fire, I ain't even need a grill
Did it all with no cuss words, I ain't have to curse just to keep it real (Woo)
Me and Jazz in the late eighties, writin' rhymes, makin' tapes daily
Fresh Prince make the babes crazy, rest in peace to James Avery
Even when the streets call me corny I still ain't never let the hate break me
I just wanted the respect first, I still ain't never let the fame change me (Yeah)
New me, but I'm old school (Old school)
Big Willie on the Pro Tools (Pro Tools)
Still fresh and I'm so smooth (So smooth)
I still got on my old shoes
I give Jada one thousand kisses, ain't nothin' change since '02 (Ayy)
Martin Lawrence get a rose too
He a legend and a G.O.A.T.  too (G.O.A.T. )
Man, I love how you break the rules
Pushin' limits and you make it cool
Joyner Lucas wasn't made to lose
You a legend in the makin' too
What a beauty, my life's a movie
I swear I'm only on take two
All my kids turned out great and I know your son gon' be great too (Great too)
Brick by brick, buildin' a wall that no one could break
Flip by flip, glad I could help so you could be straight
And life's a trip, but who could relate?
The legends are gone but it ain't too late
To give 'em a rose and carry the grace
'Cause not every hero is wearin' a cape (Will)

[Chorus: Joyner Lucas]
I'm feelin' like Will (Hey), I feel like a prince, I'm feelin' myself
(Buck, buck)
I'm loaded with bills (Ooh) 'cause I wasn't blessed with no Uncle Phil (Blah)
Don't know how it feels (Feels), I wanted to flex, they told me to chill (Chill)
I'm makin' a flip (Flip), my life is a flick, mm"
Savage,Megan Thee Stallion,"[Intro]
I'm that bitch (Yeah)
Been that bitch, still that bitch (Ah)
Will forever be that bitch (Forever be that bitch)
Yeah (Ayy, ah)

[Verse 1]
I'm the hood Mona Lisa, break a nigga into pieces
Had to X some cheesy niggas out my circle like a pizza (Yeah)
I'm way too exclusive, I don't shop on Insta' boutiques
All them lil' ass clothes only fit fake booties
Bad bitch, still talking cash shit
Pussy like water, I'm unbothered and relaxing
I would never trip on a nigga if I had him
Bitch, that's my trash, you the maid, so you bagged him, ah

[Chorus]
I'm a savage (Yeah)
Classy, bougie, ratchet (Yeah)
Sassy, moody, nasty (Hey, hey, yeah)
Acting stupid, what's happening? (Woah, woah)
Bitch, what's happening? (Woah, woah)
Bitch, I'm a savage, yeah
Classy, bougie, ratchet, yeah
Sassy, moody, nasty, huh
Acting stupid, what's happening?
Bitch, what's happening? (Ayy, ah)

[Verse 2]
Eat me and record it, but your edge-up all I'm showing (Ah)
I keep my niggas private, so his AP all I'm showing (Baow)
Beefing with you bitches really getting kinda boring
If it ain't about the money, then you know I'm gon' ignore it
I'm the shit, ooh (Ayy)
I need a mop to clean the floor, it's too much drip, ooh (Too much drip, ooh)
I keep a knot, I keep a watch, I keep a whip, ooh (I keep a whip, baow)
Let's play a game, Simon says I'm still that bitch, ayy (Still that bitch)
I'm still that bitch, yeah (Ah)

[Chorus]
I'm a savage
Classy, bougie, ratchet (Yeah)
Sassy, moody, nasty (Yeah)
Acting stupid, what's happening? (What's up?)
Bitch, what's happening? (What's up?)
Bitch, I'm a savage, yeah
Classy, bougie, ratchet, yeah (Bitch)
Sassy, moody, nasty, huh
Acting stupid, what's happening? (What's up?)
Bitch, what's happening?

[Verse 3]
Bitch, I'm lit like a match, ooh
And any nigga I let hit is still attached, ooh
That body right, but you know this pussy fat, ooh
I drop a picture, now these bitches feel attacked, ayy
Don't let that nigga gas you up and get you whacked, ooh
I make a call and get a pussy nigga smacked, uh
These bitches talkin' 'bout pulling up, well, where you at? Ooh
I'm in a Lam', bitch, catch me if you can, ooh
I'm kickin' bitches out they spot, Stalli' Chan, yeah (Ah, yeah)

[Outro]
Niggas say I taste like sugar, but ain't shit sweet (Ah)
Mwah
Ayy, ayy, ooh, ooh, ooh, ooh, mwah"
Rise Up (Performance Version),Just Sam,"New 2020 Songs
January
February
March
April
May
Camila Cabello - My Oh My (feat. DaBaby & Gunna)
Marshmello & Halsey - Be Kind
Doja Cat - Say So (feat. Nicki Minaj)
Sara Evans - Whenever I Call You ""Friend"" (feat. Phillip Sweet)
David Archuleta - Just Breathe
Queen & Adam Lambert - You Are The Champions
Sia - Saved My Life
Kygo & OneRepublic - Lose Somebody
Alexandra Stan - Take Me Home
Charli XCX - i finally understand
Demi Lovato - I Love Me (feat. Travis Barker) (Emo Version)
Tim McGraw - I Called Mama
Ariana Grande & Justin Bieber - Stuck with You
Lindsay Lohan - Back to Me (Dave Audé Remix)
Ava Max - Kings & Queens
Ava Max - Salt (Acoustic)
Inna - sober
Lennon Stella & Charlie Puth - Summer Feelings (feat. Charlie Puth)
Doja Cat - Say So (feat. Nicki Minaj) [Original Version]
Aly & AJ - Joan of Arc on the Dance Floor
Kelly Clarkson - I Dare You (Eden Prince Remix)
KYGO & OneRepublic - Lose Somebody
OneRepublic - Better Days (Live Quarantine Recording)
Kaitlyn Bristowe - If I'm Being Honest
Jonas Brothers - X (Feat. Karol G)
Katy Perry - Daisies
Just Sam - Rise Up (Performance Version)
Nick Jonas - Until We Meet Again
Thunderstorm Artis & Nick Jonas - You'll Be In My Heart (The Voice Performance)
Micah Iverson & Kelly Clarkson - I Run To You (The Voice Performance)
Cammwess & John Legend - Rocket Man (The Voice Performance)
Toneisha Harris & Blake Shelton - Don't Stop (The Voice Performance)
Thunderstorm Artis - Sedona
Micah Iverson - Butterflies
Todd Tilghman - Long Way Home
Toneisha Harris - My Superhero
Cammwess - Save It For Tomorrow

New 2020 Albums / EP's
January
February
March
April
May
Hailee Steinfeld - Half Written Story PT 1 [EP]

Album Flashbacks
January
February
March
April
May
Madonna - Bedtimes Stories (1994)
Madonna - American Life (2003)
Robyn - Honey (2018)
Britney Spears - Glory (2016)
Lady Gaga - Fame Monster (2009)
Cady Groves - This Little Girl [EP] (2012)
Billie Eilish - Ocean Eyes (Remixes) (2018)
Jessie J - ROSE (2018)
Britney Spears - Oops!... I Did It Again (2000)
Taylor Swift - Lover (2019)
Taylor Swift - Red (2012)

Notable 2020 Songs
Notable 2020 Albums
Notable 2020 Remixes"
My Superhero (The Voice Performance),Toneisha Harris,"New 2020 Songs
January
February
March
April
May
Camila Cabello - My Oh My (feat. DaBaby & Gunna)
Marshmello & Halsey - Be Kind
Doja Cat - Say So (feat. Nicki Minaj)
Sara Evans - Whenever I Call You ""Friend"" (feat. Phillip Sweet)
David Archuleta - Just Breathe
Queen & Adam Lambert - You Are The Champions
Sia - Saved My Life
Kygo & OneRepublic - Lose Somebody
Alexandra Stan - Take Me Home
Charli XCX - i finally understand
Demi Lovato - I Love Me (feat. Travis Barker) (Emo Version)
Tim McGraw - I Called Mama
Ariana Grande & Justin Bieber - Stuck with You
Lindsay Lohan - Back to Me (Dave Audé Remix)
Ava Max - Kings & Queens
Ava Max - Salt (Acoustic)
Inna - sober
Lennon Stella & Charlie Puth - Summer Feelings (feat. Charlie Puth)
Doja Cat - Say So (feat. Nicki Minaj) [Original Version]
Aly & AJ - Joan of Arc on the Dance Floor
Kelly Clarkson - I Dare You (Eden Prince Remix)
KYGO & OneRepublic - Lose Somebody
OneRepublic - Better Days (Live Quarantine Recording)
Kaitlyn Bristowe - If I'm Being Honest
Jonas Brothers - X (Feat. Karol G)
Katy Perry - Daisies
Just Sam - Rise Up (Performance Version)
Nick Jonas - Until We Meet Again
Thunderstorm Artis & Nick Jonas - You'll Be In My Heart (The Voice Performance)
Micah Iverson & Kelly Clarkson - I Run To You (The Voice Performance)
Cammwess & John Legend - Rocket Man (The Voice Performance)
Toneisha Harris & Blake Shelton - Don't Stop (The Voice Performance)
Thunderstorm Artis - Sedona
Micah Iverson - Butterflies
Todd Tilghman - Long Way Home
Toneisha Harris - My Superhero
Cammwess - Save It For Tomorrow

New 2020 Albums / EP's
January
February
March
April
May
Hailee Steinfeld - Half Written Story PT 1 [EP]

Album Flashbacks
January
February
March
April
May
Madonna - Bedtimes Stories (1994)
Madonna - American Life (2003)
Robyn - Honey (2018)
Britney Spears - Glory (2016)
Lady Gaga - Fame Monster (2009)
Cady Groves - This Little Girl [EP] (2012)
Billie Eilish - Ocean Eyes (Remixes) (2018)
Jessie J - ROSE (2018)
Britney Spears - Oops!... I Did It Again (2000)
Taylor Swift - Lover (2019)
Taylor Swift - Red (2012)

Notable 2020 Songs
Notable 2020 Albums
Notable 2020 Remixes"
You Say,Lauren Daigle,"[Verse 1]
I keep fighting voices in my mind that say I’m not enough
Every single lie that tells me I will never measure up
Am I more than just the sum of every high and every low?
Remind me once again just who I am, because I need to know

[Chorus]
You say I am loved when I can’t feel a thing
You say I am strong when I think I am weak
You say I am held when I am falling short
When I don’t belong, You say I am Yours
And I believe, I believe
What You say of me
I believe

[Verse 2]
The only thing that matters now is everything You think of me
In You, I find my worth; in You, I find my identity

[Chorus]
You say I am loved when I can’t feel a thing
You say I am strong when I think I am weak
You say I am held when I am falling short
When I don’t belong, You say I am Yours
And I believe, I believe
What You say of me
I believe

[Bridge]
Taking all I have and now I'm laying it at Your feet
You have every failure, God
You'll have every victory

[Chorus]
You say I am loved when I can’t feel a thing
You say I am strong when I think I am weak
You say I am held when I am falling short
When I don’t belong, You say I am Yours
And I believe, I believe
What You say of me
I believe

[Outro]
Oh, I believe
Yes, I believe
What You say of me
Oh, I believe"
Intentions (feat. Quavo),Justin Bieber,"He's perfect, perfect he dont need no filter
Flawless never had to sin to be a leader
Showers us with all His attention
Yh these are His only intentions
Stay in my heart, Lord i plead for your mercy
You're full of equity you're an asset
I'll make sure that i dont need no mentions
Yh these are His only intention
Shout out to the Father, yh for making me
I dont deserve it i dont deserve His mercy
But when i confess, He is there
He's there to comfort me( yh to comfort me yh)
Can nobody throw shade on His name
He's peace
Tripple one Father,Son and the Holy Spirit
He makes it easy to choose
He's got that sweet grace i can't refuse(no i can't refuse it)
Chrous :He's grace and mercy he dont need no filter
Flawless never had to sin to be my leader
He showers us with all His attention
Yh these are His only intentions
Stay in my heart Lord I plead for your mercy
You're full of equity your an asset
I'll make sure that i dont need no mentions
Yh these are His only intentions
Already passed He dont need no approval
Good everyway couldn't worry bout refusing
First in my life you've got the upper hand Lord
Dont need a sponsor no you're my brand Lord
You're my king, My one and only
Never turned you're face on me
Love you Lord through the pain or sorrow
That's how i feel Jesus, Jesus yes He is
Chrous : He's grace and mercy he dont need no filter
Flawless never had to sin to be a leader
Showers us with all His attention
Yh these are His only intentions
Stay in my heart Lord i plead for your mercy
You're full of equity you're an asset(asset)
I'll make sure that I dont need no mentions (yah,yah)
Yh these are His only intentions

No lie, No pretendance
He dont need mentions
He set goals and can decide to be independent
But He minded your business, its in His feeling
No fifty fifty percent chance
Attention He gave commitment
We've got to both admit it
He never left your side
He's a blessing, and by your side
Lord your the best thing
And i dont need a witness
You're on fire, yh your grace is still perfect fitness

Chrous: He's grace and Mercy ..........."
Roses (Imanbek Remix),SAINt JHN,"[Verse 1]
Roses
I walked in the corner with the body screaming dolo
Never sold a bag but look like Pablo in a photo
This gon' make 'em feel the way like Tony killed Manolo
You already know though, you already know though
I walk in the corner with the money, on my finger
She might get it popping, I might wife her for the winter
I already know, already know, nigga roses
All I need is roses

[Chorus]
Turn up baby, turn up, when I turn it on
You know how I get too lit when I turn it on
Can't handle my behavior when I turn it on
Too fast, never ask, if the life don't last
Done been through it all
Fuck with a nigga raw, this who you wanna be
And I know you won't tell nobody nothing
And I know you won't tell nobody no

[Verse 2]
Roses
I might pull up flexing on these niggas like aerobics
I might tell her girl you cute but balling, that shit gorgeous
Standing on the table, Rosé, Rosé, fuck the waters
You know who the God is

[Chorus]
Turn up baby, turn up, when I turn it on
You know how I get too lit when I turn it on
Can't handle my behavior when I turn it on
Too fast, never ask, if the life don't last
Done been through it all
Fuck with a nigga raw, this who you wanna'-

[Verse 1]
Roses
I walked in the corner with the body screaming dolo
Never sold a bag but look like Pablo in a photo
This gon' make 'em feel the way like Tony killed Manolo
You already know though, you already know though
I walk in the corner with the money, on my finger
She might get it popping, I might wife her for the winter
I already know, already know, nigga roses
All I need is roses

[Chorus]
Turn up baby, turn up, when I turn it on
You know how I get too lit when I turn it on
Can't handle my behavior when I turn it on
Too fast, never ask, if the life don't last
Done been through it all
Fuck with a nigga raw
And I know you won't tell nobody nothing
And I know you won't tell nobody no

[Verse 2]
Roses
I might pull up flexing on these niggas like aerobics
I might tell her girl you cute but balling, that shit gorgeous
Standing on the table, Rosé, Rosé, fuck the waters
You know who the God is

[Outro]
Turn up baby, turn up, when I turn it on
You know how I get too lit when I turn it on
Can't handle my behavior when I turn it on
Too fast, never ask, if the life don't last
Done been through"
Sedona (The Voice Performance),Thunderstorm Artis,"New 2020 Songs
January
February
March
April
May
Camila Cabello - My Oh My (feat. DaBaby & Gunna)
Marshmello & Halsey - Be Kind
Doja Cat - Say So (feat. Nicki Minaj)
Sara Evans - Whenever I Call You ""Friend"" (feat. Phillip Sweet)
David Archuleta - Just Breathe
Queen & Adam Lambert - You Are The Champions
Sia - Saved My Life
Kygo & OneRepublic - Lose Somebody
Alexandra Stan - Take Me Home
Charli XCX - i finally understand
Demi Lovato - I Love Me (feat. Travis Barker) (Emo Version)
Tim McGraw - I Called Mama
Ariana Grande & Justin Bieber - Stuck with You
Lindsay Lohan - Back to Me (Dave Audé Remix)
Ava Max - Kings & Queens
Ava Max - Salt (Acoustic)
Inna - sober
Lennon Stella & Charlie Puth - Summer Feelings (feat. Charlie Puth)
Doja Cat - Say So (feat. Nicki Minaj) [Original Version]
Aly & AJ - Joan of Arc on the Dance Floor
Kelly Clarkson - I Dare You (Eden Prince Remix)
KYGO & OneRepublic - Lose Somebody
OneRepublic - Better Days (Live Quarantine Recording)
Kaitlyn Bristowe - If I'm Being Honest
Jonas Brothers - X (Feat. Karol G)
Katy Perry - Daisies
Just Sam - Rise Up (Performance Version)
Nick Jonas - Until We Meet Again
Thunderstorm Artis & Nick Jonas - You'll Be In My Heart (The Voice Performance)
Micah Iverson & Kelly Clarkson - I Run To You (The Voice Performance)
Cammwess & John Legend - Rocket Man (The Voice Performance)
Toneisha Harris & Blake Shelton - Don't Stop (The Voice Performance)
Thunderstorm Artis - Sedona
Micah Iverson - Butterflies
Todd Tilghman - Long Way Home
Toneisha Harris - My Superhero
Cammwess - Save It For Tomorrow

New 2020 Albums / EP's
January
February
March
April
May
Hailee Steinfeld - Half Written Story PT 1 [EP]

Album Flashbacks
January
February
March
April
May
Madonna - Bedtimes Stories (1994)
Madonna - American Life (2003)
Robyn - Honey (2018)
Britney Spears - Glory (2016)
Lady Gaga - Fame Monster (2009)
Cady Groves - This Little Girl [EP] (2012)
Billie Eilish - Ocean Eyes (Remixes) (2018)
Jessie J - ROSE (2018)
Britney Spears - Oops!... I Did It Again (2000)
Taylor Swift - Lover (2019)
Taylor Swift - Red (2012)

Notable 2020 Songs
Notable 2020 Albums
Notable 2020 Remixes"
Somewhere Over the Rainbow / What a Wonderful World,Israel Kamakawiwo'ole,"'Kay, this one's for Gabby

Somewhere over the rainbow
Way up high
And the dreams that you dreamed of
Once in a lullaby
Somewhere over the rainbow
Blue birds fly
And the dreams that you dreamed of
Dreams really do come true ooh ooooh
Someday I'll wish upon a star
Wake up where the clouds are far behind me
Where trouble melts like lemon drops
High above the chimney tops that's where you'll find me
Oh somewhere over the rainbow, bluebirds fly
And the dream that you dare to, oh why, oh why can't I?

Well I see trees of green and red roses too
I'll watch them bloom for me and you
And I think to myself
What a wonderful world

Well I see skies of blue and I see clouds of white
And the brightness of day highlight the dark and I think to myself
What a wonderful world

The colors of the rainbow so pretty in the sky
Are also on the faces of people passing by
I see friends shaking hands
Saying, ""How do you do?""
They're really saying, ""I...I love you""
I hear babies cry and I watch them grow
They'll learn much more
Than we'll know
And I think to myself
What a wonderful world, world

Someday I'll wish upon a star
Wake up where the clouds are far behind me
Where trouble melts like lemon drops
High above the chimney top that's where you'll find me
Oh, somewhere over the rainbow, way up high
And the dream that you dare to, why, oh why can't I? I?"
Hard to Forget,Sam Hunt,"[Intro]
There stands the glass
That will ease all my pain
That will settle my brain
It's my first one today
There stands the glass
That-that will ease all my pain
That-that will settle my brain
It's-it's my first one today

[Verse 1]
Ayy
I saw your sister at work
I saw your mama at church
I'm pretty sure I saw your car at the mall
I see your face in the clouds
I smell your perfume in crowds
I swear your number's all my phone wants to call

[Pre-Chorus]
It's kinda funny how I can't seem
To get away from you
It's almost like you don't want me to

[Chorus]
You've got a cold heart and the cold hard truth
I got a bottle of whiskey, but I got no proof
That you showed up tonight
In that dress just to mess with my head
So much for so long
Out of sight, out of mind
Girl, you're lookin' so good
It's drivin' me out of mine
Oh, you're breakin' my heart
Baby, you're playin' hard to forget

[Verse 2]
Told me to leave all your things
Out on the porch, on the swing
You'd come and grab 'em by the end of the week
Well, it's just some jeans and a shirt
But it's a whole lot of hurt
I think I know why you've been dragging your feet

[Pre-Chorus]
Ain't it funny how I can't seem
To get away from you?
It's almost like you don't want me to

[Chorus]
You've got a cold heart and the cold hard truth
I got a bottle of whiskey, but I got no proof
That you showed up tonight
In that dress just to mess with my head
So much for so long
Out of sight, out of mind
Girl, you're lookin' so good
It's drivin' me out of mine
Oh, you're breakin' my heart
Baby, you're playin' hard to forget

[Bridge]
There stands the glass
That-that will ease all my pain
That-that will settle my brain
It's-it's my first one today

[Chorus]
You've got a cold heart and the cold hard truth
I got a bottle of whiskey, but I got no proof
That you showed up tonight
In that dress just to mess with my head
So much for so long
Out of sight, out of mind
Girl, you're lookin' so good
It's drivin' me out of mine
Oh, you're breakin' my heart
Baby, you're playin' hard to forget

[Outro]
Oh honey, I'm fallin' apart
And you're playin' hard to forget"
